0.1	0.316228
2.1	1.44914
4.1	2.02485
6.1	2.46982
8.1	2.84605
10.1	3.17805
12.1	3.47851
14.1	3.755
16.1	4.01248
18.1	4.25441
20.1	4.4833
22.1	4.70106
24.1	4.90918
26.1	5.10882
28.1	5.30094
30.1	5.48635
32.1	5.66569
34.1	5.83952
36.1	6.00833
38.1	6.17252
40.1	6.33246
42.1	6.48845
44.1	6.64078
46.1	6.7897
48.1	6.93542
50.1	7.07814
52.1	7.21803
54.1	7.35527
56.1	7.48999
58.1	7.62234
60.1	7.75242
62.1	7.88036
64.1	8.00625
66.1	8.13019
68.1	8.25227
70.1	8.37257
72.1	8.49117
74.1	8.60814
76.1	8.72353
78.1	8.83742
80.1	8.94986
82.1	9.06091
84.1	9.17061
86.1	9.27901
88.1	9.38616
90.1	9.4921
92.1	9.59687
94.1	9.70052
96.1	9.80306
98.1	9.90454
